name,address,latitude,longitude,Type,id,webUrl
Le Chalet de Gruyeres,"rue du Bourg 40, Gruyeres 1663 Switzerland",46.584064,7.082046,2,4149055,https://www.tripadvisor.com/Restaurant_Review-g198820-d4149055-Reviews-Le_Chalet_de_Gruyeres-Gruyeres_La_Gruyere_Canton_of_Fribourg.html
Gruyere Traditions,"rue du Bourg 20, Gruyeres 1663 Switzerland",46.58324,7.081074,2,2244373,https://www.tripadvisor.com/Restaurant_Review-g198820-d2244373-Reviews-Gruyere_Traditions-Gruyeres_La_Gruyere_Canton_of_Fribourg.html
Restaurant Hotel de Ville,"place de Hotel de Ville 1, La Tour-de-Treme 1635 Switzerland",46.60916,7.06467,2,12547491,https://www.tripadvisor.com/Restaurant_Review-g4277996-d12547491-Reviews-Restaurant_Hotel_de_Ville-La_Tour_de_Treme_Canton_of_Fribourg.html
Le Gruyerien,"Clos d'Amont 2, Morlon 1638 Switzerland",46.625988,7.085719,2,1025860,https://www.tripadvisor.com/Restaurant_Review-g1025659-d1025860-Reviews-Le_Gruyerien-Morlon_La_Gruyere_Canton_of_Fribourg.html
Goya Onda,"route du Lac 23, Morlon 1638 Switzerland",46.62635,7.09385,2,20920909,https://www.tripadvisor.com/Restaurant_Review-g1025659-d20920909-Reviews-Goya_Onda-Morlon_La_Gruyere_Canton_of_Fribourg.html
Cafe-Restaurant de la Chaudanne,"route de La Chaudanne 8, Rossiniere 1658 Switzerland",46.46565,7.09741,2,13164439,https://www.tripadvisor.com/Restaurant_Review-g1068944-d13164439-Reviews-Cafe_Restaurant_de_la_Chaudanne-Rossiniere_Canton_of_Vaud.html
Le Buro,"rue de la Sionge 29, Bulle 1630 Switzerland",46.61917,7.056647,2,4149667,https://www.tripadvisor.com/Restaurant_Review-g652156-d4149667-Reviews-Le_Buro-Bulle_La_Gruyere_Canton_of_Fribourg.html
Les Montagnards La brasserie,"Rue de Montsalvens 4, Broc 1636 Switzerland",46.60303,7.100235,2,17990943,https://www.tripadvisor.com/Restaurant_Review-g1140517-d17990943-Reviews-Les_Montagnards_La_brasserie-Broc_La_Gruyere_Canton_of_Fribourg.html
Restaurant des Montagnards,"route de la Poya 23 Auberge des Montagnards, Estavannens, Bas-Intyamon 1665 Switzerland",46.560314,7.102318,2,4313037,https://www.tripadvisor.com/Restaurant_Review-g4346331-d4313037-Reviews-Restaurant_des_Montagnards-Estavannens_Bas_Intyamon_Canton_of_Fribourg.html
L'Ecu Restaurant,"rue Saint-Denis 5, Bulle 1630 Switzerland",46.615276,7.057736,3,1081886,https://www.tripadvisor.com/Restaurant_Review-g652156-d1081886-Reviews-L_Ecu_Restaurant-Bulle_La_Gruyere_Canton_of_Fribourg.html
Les Halles 1787,"rue de la Promenade 44, Bulle 1630 Switzerland",46.619724,7.058606,3,3721628,https://www.tripadvisor.com/Restaurant_Review-g652156-d3721628-Reviews-Les_Halles_1787-Bulle_La_Gruyere_Canton_of_Fribourg.html
Gare a toi,"rue de la Lecheretta 1, Bulle 1630 Switzerland",46.61818,7.055442,3,12452100,https://www.tripadvisor.com/Restaurant_Review-g652156-d12452100-Reviews-Gare_a_toi-Bulle_La_Gruyere_Canton_of_Fribourg.html
le Bistrot du Parc,"Village d'Enhaut 25, Charmey 1637 Switzerland",46.61944,7.16648,3,4150718,https://www.tripadvisor.com/Restaurant_Review-g635662-d4150718-Reviews-Le_Bistrot_du_Parc-Charmey_La_Gruyere_Canton_of_Fribourg.html
Auberge La Couronne,"Route de l_Intyamon 36, Enney, Bas-Intyamon 1667 Switzerland",46.5657,7.08357,3,4313275,https://www.tripadvisor.com/Restaurant_Review-g20962667-d4313275-Reviews-Auberge_La_Couronne-Enney_Bas_Intyamon_Canton_of_Fribourg.html
Cafe Paradiso,"rue du Marche 21, Bulle 1630 Switzerland",46.619392,7.058482,3,14849314,https://www.tripadvisor.com/Restaurant_Review-g652156-d14849314-Reviews-Cafe_Paradiso-Bulle_La_Gruyere_Canton_of_Fribourg.html
Le Vanil Noir,"rue du Vanil-Noir 15, Grandvillard 1666 Switzerland",46.53929,7.08671,3,7024072,https://www.tripadvisor.com/Restaurant_Review-g4760568-d7024072-Reviews-Le_Vanil_Noir-Grandvillard_Canton_of_Fribourg.html
Restaurant Hotel de Ville,"place du Village 1, Rossiniere 1658 Switzerland",46.46726,7.08159,3,2100213,https://www.tripadvisor.com/Restaurant_Review-g1068944-d2100213-Reviews-Restaurant_Hotel_de_Ville-Rossiniere_Canton_of_Vaud.html
La Grange Aux Thurler Sarl,"route de l'Intyamon 135, Villars-sous-Mont, Bas-Intyamon 1666 Switzerland",46.538914,7.068586,3,15144484,https://www.tripadvisor.com/Restaurant_Review-g15288676-d15144484-Reviews-La_Grange_Aux_Thurler_Sarl-Villars_sous_Mont_Bas_Intyamon_Canton_of_Fribourg.html
Auberge de l'Ange,"route de l' Intyamon 103, Albeuve 1669 Switzerland",46.518406,7.056111,3,4457428,https://www.tripadvisor.com/Restaurant_Review-g1524614-d4457428-Reviews-Auberge_de_l_Ange-Albeuve_La_Gruyere_Canton_of_Fribourg.html
